id,title,genres,averageRating,numVotes,releaseYear
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,82191,2023
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.7,76695,2014
tt0758745,"Friday Night Lights","Drama, Sport",8.7,74582,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,73514,2012
tt0387764,"Peep Show",Comedy,8.7,68796,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,60265,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,51454,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,46562,2019
tt0111958,"Father Ted",Comedy,8.7,45110,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,40483,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,39034,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,36029,2018
tt0459159,"The Thick of It",Comedy,8.7,27279,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,27103,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,25218,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,23034,2019
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21956,2004
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21605,2023
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,20365,2022
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16749,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,15376,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,15236,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14634,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,14036,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13933,1972
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12609,2015
tt30217403,Dandadan,"Action, Adventure, Animation",8.7,12541,2024
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11793,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,11199,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10725,2019
tt0075537,"Mind Your Language",Comedy,8.7,10012,1977
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,806834,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,607641,2019
tt1856010,"House of Cards",Drama,8.6,539482,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,486901,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,354452,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,332927,2008
tt1266020,"Parks and Recreation",Comedy,8.6,296679,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,264791,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,257172,1993
tt14452776,"The Bear","Comedy, Drama",8.6,254451,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,207715,2010
tt2788316,Shōgun,"Adventure, Drama, History",8.6,189334,2024
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,172182,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,169360,2009
tt0096657,"Mr. Bean","Comedy, Family",8.6,138548,1990
tt1870479,"The Newsroom",Drama,8.6,127889,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,122324,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120966,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,118388,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,111411,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,91761,2016
tt9174558,Dopesick,Drama,8.6,83092,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,79105,2011
tt5421602,"Anne with an E","Drama, Family",8.6,70667,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54913,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,54247,1989
tt0088484,"Blackadder II",Comedy,8.6,51147,1986
tt0092324,"Blackadder the Third",Comedy,8.6,48190,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47568,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,47216,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,46102,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,43361,2022
tt5288312,Skam,"Drama, Romance",8.6,39882,2015
